תאריך,נייר/תנועה,מס' נייר/תנועה,פעולה,כמות,מחיר,זכות נטו,חובה נטו,עמלה,יתרה,אסמכתא
18 ביוני 2017,14  הפקדה לבנק,900,העברה,0,0,30000,0,0,30000,262943
19 ביוני 2017,14  הפקדה לבנק,900,העברה,0,0,6000,0,0,36000,262946
26 ביוני 2017,"IWVL LN  ע.מט""ח",99028,מש/עמל,30,353.6,0,0,0,36000,0
26 ביוני 2017,IWVL L $התחיבות,99218,משיכה,1495.66,353.6,0,0,0,36000,77001
26 ביוני 2017,קסם ממשל 5-2 שנ,5113329,קניה,4832,111.79,0,5406.69,5,30593.31,5555
26 ביוני 2017,"125 תכלית ת""א",5114657,קניה,3139,115.14,0,3619.24,5,26974.07,5555
26 ביוני 2017,S&P 500 איביאי,5117601,קניה,2660,169.02,0,4500.93,5,22473.14,5555
26 ביוני 2017,S&P 500 איביאי,5117601,קניה,2660,168.99,0,4500.13,5,17973.01,0
26 ביוני 2017,S&P 500 איביאי,5117601,קניה,-2660,169.02,0,-4500.93,-5,22473.94,0
26 ביוני 2017,RUSSEL 2000 MTF,5118344,קניה,2596,139.16,0,3617.59,5,18856.35,5555
26 ביוני 2017,RUSSEL 2000 MTF,5118344,קניה,-2596,139.16,0,-3617.59,-5,22473.94,0
26 ביוני 2017,RUSSEL 2000 MTF,5118344,קניה,2596,139.89,0,3636.54,5,18837.4,0
26 ביוני 2017,MSCI איביאי סל,5119318,קניה,2651,102.37,0,2718.83,5,16118.57,5555
26 ביוני 2017,MSCI איביאי סל,5119318,קניה,-2651,102.37,0,-2718.83,-5,18837.4,0
26 ביוני 2017,MSCI איביאי סל,5119318,קניה,2651,103.74,0,2755.15,5,16082.25,0
26 ביוני 2017,איביאי ריט ארהב,5122692,קניה,3122,115.35,0,3606.23,5,12476.02,5555
26 ביוני 2017,איביאי ריט ארהב,5122692,קניה,-3122,115.35,0,-3606.23,-5,16082.25,0
26 ביוני 2017,איביאי ריט ארהב,5122692,קניה,3122,117.84,0,3683.96,5,12398.29,0
26 ביוני 2017,2ר.קבע5-2 ס MTF,5122973,קניה,5319,101.53,0,5405.38,5,6992.91,5555
26 ביוני 2017,ISHARES E(IWVL),60430493,"ק/חו""ל",53,2822,0,0,0,6992.91,77001
27 ביוני 2017,B USD/ILS 3.544,99028,קניה,1525.66,354.46,0,5407.92,0,1584.99,0
27 ביוני 2017,טבע,629014,ק/רצף,14,11560,0,1620.75,2.35,-35.76,629014
28 ביוני 2017,IWVL L   $ דולר,99028,משיכה,1495.66,353.6,0,0,0,-35.76,77001
28 ביוני 2017,IWVL L $התחיבות,99218,משיכה,-1495.66,353.6,0,0,0,-35.76,77001
31 ביולי 2017,31/07/17 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,-50.76,0
31 ביולי 2017,מגן מס,9992983,הפקדה,3.74,100,0,0,0,-50.76,0
31 באוג׳ 2017,31/08/17 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,-65.76,0
31 באוג׳ 2017,מגן מס,9992983,הפקדה,3.75,100,0,0,0,-65.76,0
14 בספט׳ 2017,טבע,629014,דיבדנד,0,0,3.63,0,0,-62.13,0
14 בספט׳ 2017,17  -מס תקבולים,9992975,הפקדה,0.64,100,0,0,0,-62.13,0
