תאריך,נייר/תנועה,מס' נייר/תנועה,פעולה,כמות,מחיר,זכות נטו,חובה נטו,עמלה,יתרה,אסמכתא
1 בינו׳ 2022,איפוס מגן מס,9992983,משיכה,44.99,100,0,0,0,-13.54,9992983
5 בינו׳ 2022,URTH US    /דיב,99028,הפ/דיב,6.51,309.3,0,0,0,-13.54,0
5 בינו׳ 2022,URTH US    /מסח,99028,מש/מסח,1.63,309.3,0,0,0,-13.54,0
26 בינו׳ 2022,הפקדה לבנק החייל אוצר בנ,900,העברה,0,0,20000,0,0,19986.46,1
27 בינו׳ 2022,SP 500.IBI,5117601,קניה,3523,281.92,0,9939.99,7.95,10046.47,5555
27 בינו׳ 2022,SP 500.IBI,5117601,קניה,-3523,281.92,0,-9939.99,-7.95,19986.46,0
27 בינו׳ 2022,SP 500.IBI,5117601,קניה,3523,282.89,0,9974.18,7.97,10012.28,0
31 בינו׳ 2022,31/01/22 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,7.03,0,10005.25,0
31 בינו׳ 2022,מגן מס,9993983,הפקדה,1.75,100,0,0,0,10005.25,0
28 בפבר׳ 2022,28/02/22 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,9990.25,0
28 בפבר׳ 2022,מגן מס,9993983,הפקדה,3.75,100,0,0,0,9990.25,0
31 במרץ 2022,31/03/22 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,9975.25,0
31 במרץ 2022,מגן מס,9993983,הפקדה,3.75,100,0,0,0,9975.25,0
30 באפר׳ 2022,30/04/22 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,9960.25,0
30 באפר׳ 2022,מגן מס,9993983,הפקדה,3.75,100,0,0,0,9960.25,0
17 במאי 2022,הפקדה לבנק החייל אוצר בנ,900,העברה,0,0,20000,0,0,29960.25,1
17 במאי 2022,SP 500.IBI,5117601,קניה,3375,277.94,0,9387.98,7.5,20572.27,5555
17 במאי 2022,SP 500.IBI,5117601,קניה,-3375,277.94,0,-9387.98,-7.5,29960.25,0
17 במאי 2022,SP 500.IBI,5117601,קניה,3375,280.18,0,9463.64,7.56,20496.61,0
19 במאי 2022,SP 500.IBI,5117601,קניה,3569,270.97,0,9678.66,7.74,10817.95,5555
19 במאי 2022,SP 500.IBI,5117601,קניה,3569,270.2,0,9651.15,7.71,1166.8,0
19 במאי 2022,SP 500.IBI,5117601,קניה,-3569,270.97,0,-9678.66,-7.74,10845.46,0
13 ביוני 2022,SP 500.IBI,5117601,קניה,3618,276.35,0,10006.34,8,839.12,5555
13 ביוני 2022,SP 500.IBI,5117601,קניה,3618,265.92,0,9628.69,7.7,-8789.57,0
13 ביוני 2022,SP 500.IBI,5117601,קניה,-3618,276.35,0,-10006.34,-8,1216.77,0
15 ביוני 2022,URTH US    /דיב,99028,הפ/דיב,85.57,345.4,0,0,0,1216.77,0
15 ביוני 2022,URTH US    /מסח,99028,מש/מסח,21.39,345.4,0,0,0,1216.77,0
30 ביוני 2022,30/06/22 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,7.3,0,1209.47,0
30 ביוני 2022,מגן מס,9993983,הפקדה,1.82,100,0,0,0,1209.47,0
31 ביולי 2022,31/07/22 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,1194.47,0
31 ביולי 2022,מגן מס,9993983,הפקדה,3.76,100,0,0,0,1194.47,0
31 באוג׳ 2022,31/08/22 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,1179.47,0
31 באוג׳ 2022,מגן מס,9993983,הפקדה,3.75,100,0,0,0,1179.47,0
30 בספט׳ 2022,30/09/22 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,1164.47,0
30 בספט׳ 2022,מגן מס,9993983,הפקדה,3.75,100,0,0,0,1164.47,0
13 באוק׳ 2022,הפקדה לבנק החייל אוצר בנ,900,העברה,0,0,20000,0,0,21164.47,1
31 באוק׳ 2022,31/10/22 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,21149.47,0
